,postcodeDistrict,retailNum
1542,NE35,2
1543,NE36,1
1544,NE37,7
1545,NE38,6
1546,NE39,1
1547,NE4,8
1548,NE40,4
1549,NE41,2
1550,NE42,4
1551,NE43,1
1552,NE45,2
1553,NE46,8
1554,NE47,3
1555,NE48,1
1556,NE49,2
1557,NE5,12
1558,NE6,12
1559,NE61,9
1560,NE62,1
1561,NE625,1
1562,NE63,10
1563,NE64,1
1564,NE65,7
1565,NE66,10
1566,NE68,1
1567,NE7,6
1568,NE70,1
1569,NE71,1
1570,NE8,5
1571,NE9,9
1572,NE96,1
1573,NG1,12
1574,NG10,13
1575,NG11,14
1576,NG12,11
1577,NG13,8
1578,NG14,8
1579,NG15,9
1580,NG157,1
1581,NG16,20
1582,NG17,24
1583,NG18,14
1584,NG19,7
1585,NG2,18
1586,NG20,6
1587,NG21,7
1588,NG22,6
1589,NG23,3
1590,NG24,20
1591,NG25,3
1592,NG3,11
1593,NG31,15
1594,NG32,2
1595,NG33,2
1596,NG34,13
1597,NG4,13
1598,NG5,21
1599,NG6,7
1600,NG7,13
1601,NG8,18
1602,NG9,20
1603,NH18,1
1604,NN1,12
1605,NN10,11
1606,NN11,11
1607,NN12,6
1608,NN13,7
1609,NN14,13
1610,NN15,10
1611,NN16,12
1612,NN17,12
1613,NN18,10
1614,NN2,11
1615,NN29,2
1616,NN3,12
1617,NN4,9
1618,NN5,14
1619,NN6,5
1620,NN7,3
1621,NN8,17
1622,NN9,9
1623,NP10,5
1624,NP11,4
1625,NP12,9
1626,NP13,3
1627,NP15,2
1628,NP16,6
1629,NP18,5
1630,NP19,14
1631,NP20,20
1632,NP22,3
1633,NP23,8
1634,NP25,10
1635,NP26,5
1636,NP4,10
1637,NP44,12
1638,NP7,8
1639,NP8,1
1640,NR1,11
1641,NR10,5
1642,NR11,7
1643,NR12,1
1644,NR13,7
1645,NR14,4
1646,NR15,2
1647,NR16,3
1648,NR17,3
1649,NR18,6
1650,NR19,8
1651,NR2,9
1652,NR20,1
1653,NR21,5
1654,NR23,1
1655,NR24,2
1656,NR25,2
1657,NR26,3
1658,NR27,6
1659,NR28,3
1660,NR29,4
1661,NR3,10
1662,NR30,10
1663,NR31,20
1664,NR32,11
1665,NR33,10
1666,NR34,7
1667,NR35,1
1668,NR4,14
1669,NR5,8
1670,NR6,7
1671,NR7,9
1672,NR8,4
1673,NR9,2
1674,NW1,23
1675,NW10,12
1676,NW11,6
1677,NW2,13
1678,NW3,14
1679,NW4,8
1680,NW5,8
1681,NW6,19
1682,NW7,9
